,City_State,Clean_City,Population,Lat,Lng
2838,"Las Vegas, Nevada",Las Vegas,626637.0,36.1699412,-115.1398296
3411,"Albuquerque, New Mexico",Albuquerque,559202.0,35.0843859,-106.650422
4321,"Charlotte, North Carolina",Charlotte,841611.0,35.2270869,-80.8431267
4439,"New York, New York",New York,8443713.0,40.7127753,-74.0059728
6654,"Columbus, Ohio",Columbus,867628.0,39.9611755,-82.99879419999999
6919,"Oklahoma City, Oklahoma",Oklahoma City,637284.0,35.4675602,-97.5164276
8455,"Portland, Oregon",Portland,639387.0,45.5051064,-122.6750261
10395,"Philadelphia, Pennsylvania",Philadelphia,1575522.0,39.9525839,-75.1652215
10823,"Nashville-Davidson metropolitan government (balance), Tennessee,None","Nashville-Davidson metropolitan government (balance), Tennessee",660062.0,36.1492583,-86.7575663
11491,"Memphis, Tennessee",Memphis,653248.0,35.1495343,-90.0489801
11553,"San Antonio, Texas",San Antonio,1486521.0,29.4241219,-98.49362819999999
11678,"Dallas, Texas",Dallas,1318806.0,32.7766642,-96.79698789999999
11728,"El Paso, Texas",El Paso,680354.0,31.7618778,-106.4850217
11734,"Houston, Texas",Houston,2295982.0,29.7604267,-95.3698028
12553,"Fort Worth, Texas",Fort Worth,855786.0,32.7554883,-97.3307658
12570,"Austin, Texas",Austin,935755.0,30.267153,-97.7430608
13795,"Seattle, Washington",Seattle,708823.0,47.6062095,-122.3320708
15595,"Milwaukee, Wisconsin",Milwaukee,596886.0,43.0389025,-87.9064736
17389,"Phoenix, Arizona",Phoenix,1610071.0,33.4483771,-112.0740373
17477,"Tucson, Arizona",Tucson,539216.0,32.2226066,-110.9747108
18899,"San Diego, California",San Diego,1401932.0,32.715738,-117.1610838
19104,"Fresno, California",Fresno,522277.0,36.7377981,-119.7871247
19480,"Denver, Colorado",Denver,693417.0,39.7392358,-104.990251
19803,"San Jose, California",San Jose,1026658.0,37.3382082,-121.8863286
19805,"San Francisco, California",San Francisco,870044.0,37.7749295,-122.4194155
20022,"Los Angeles, California",Los Angeles,3959657.0,34.0522342,-118.2436849
20911,"Washington, District of Columbia",Washington,684498.0,38.9038855,-77.0106021
21756,"Jacksonville, Florida",Jacksonville,878907.0,30.3321838,-81.65565099999999
23494,"Indianapolis city (balance), Indiana,None","Indianapolis city (balance), Indiana",857637.0,39.768403,-86.158068
23811,"Chicago, Illinois",Chicago,2718555.0,41.8781136,-87.6297982
26958,"Louisville/Jefferson County metro government (balance), Kentucky,None","Louisville/Jefferson County metro government (balance), Kentucky",617032.0,38.2519861,-85.7591408
27002,"Baltimore, Maryland",Baltimore,614700.0,39.2903848,-76.6121893
28450,"Boston, Massachusetts",Boston,679413.0,42.3600825,-71.0588801
28554,"Detroit, Michigan",Detroit,677155.0,42.331427,-83.0457538
